Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
04 01 2018 15:30,0,6.778621197,919.3695705,67.9675827
04 01 2018 15:40,0,4.436894894,208.7606108,0
04 01 2018 15:50,210.7194977,5.013915062,339.4254412,50.42341995
04 01 2018 16:00,338.6500854,5.274309158,406.3577312,47.2641716
04 01 2018 16:10,518.5518188,5.915596962,596.8819872,43.18653107
04 01 2018 16:20,504.067688,5.858211994,578.1937936,42.6594696
04 01 2018 16:30,446.7330017,5.650877953,513.468126,52.86571121
04 01 2018 16:40,705.7045288,6.349774837,748.4708008,53.7215004
04 01 2018 16:50,795.3168945,6.636434078,860.4009723,53.08805084
04 01 2018 17:00,1012.676025,7.010248184,1020.608833,52.78892899
04 01 2018 17:10,1240.823975,7.559226036,1288.599129,55.33359909
04 01 2018 17:20,1282.074951,7.404004097,1208.758132,51.70399094
04 01 2018 17:30,941.5869141,6.80051899,928.6616421,53.39633179
04 01 2018 17:40,590.8366699,5.82537508,567.653659,45.68770981
04 01 2018 17:50,650.5629272,6.080101967,651.3438616,45.51879883
04 01 2018 18:00,871.5112305,6.582440853,838.6177863,40.36516953
04 01 2018 18:10,914.1212158,6.643204212,863.1557364,46.86555862
04 01 2018 18:20,835.84198,6.345364094,746.8192169,38.58917999
04 01 2018 18:30,624.9906006,6.042553902,638.4379438,48.70145035
04 01 2018 18:40,591.9558716,5.757640839,546.2595924,41.20378113
04 01 2018 18:50,509.3490906,5.694249153,526.6539705,46.98265076
04 01 2018 19:00,1190.81604,7.068666935,1047.201966,33.49834061
04 01 2018 19:10,963.7324829,6.641551018,862.482569,33.8251915
04 01 2018 19:20,980.9760742,6.690164089,882.4084228,27.36738968
04 01 2018 19:30,777.8479004,6.36333704,753.5623423,29.67544937
04 01 2018 19:40,980.223877,6.827414036,940.1524784,40.88489151
04 01 2018 19:50,962.4301758,6.71631813,893.2415095,41.12696838
04 01 2018 20:00,462.7698975,5.415152073,444.919796,41.6153717
04 01 2018 20:10,1139.240967,6.953413963,995.1545635,35.44075012
04 01 2018 20:20,1418.631958,7.42373991,1218.765432,36.21514893
04 01 2018 20:30,1716.139038,8.381437302,1755.404476,39.72340012
04 01 2018 20:40,1312.791016,7.493074894,1254.389015,46.13137817
04 01 2018 20:50,1222.020996,7.380391121,1196.860929,45.09289932
04 01 2018 21:00,703.7221069,6.244694233,709.6956846,42.08800888
04 01 2018 21:10,470.8012085,5.493409157,467.1059234,33.02647018
04 01 2018 21:20,387.34021,5.124141216,367.0928112,30.50971031
04 01 2018 21:30,402.4747925,5.285066128,409.242485,27.65151978
04 01 2018 21:40,460.2911987,5.539794922,480.5208029,28.00427055
